SrNo StateName	                   TIN	StateCode
1	 ANDAMAN AND NICOBAR ISLANDS    35	AN
2	 ANDHRA PRADESH	                28	AP
3	 ANDHRA PRADESH NEW	            37	AD
4	 ARUNACHAL PRADESH	            12	AR
5	 ASSAM	                        18	AS
6	 BIHAR	                        10	BH
7	 CHANDIGARH	                     4	CH
8	 CHHATISHGARH	                22	CT
9	 DADRA AND NAGAR HAVELI	        26	DN
10	 DAMAN AND DIU	                25	DD
11	 DELHI	                         7	DL
12	 GOA	                        30	GA
13	 GUJARAT	                    24	GJ
14	 HARYANA	                     6	HR
15	 HIMACHAL PRADESH	             2	HP
16	 JAMMU AND KASHMIR	             1	JK
17	 JHARKHAND	                    20	JH
18	 KARNATAKA	                    29	KA
19	 KERALA	                        32	KL
20	 LAKSHADWEEP ISLANDS	        31	LD
21	 MADHYA PRADESH	                23	MP
22	 MAHARASTRA	                    27	MH
23	 MANIPUR	                    14	MN
24	 MEGHALAYA	                    17	ME
25	 MIZORAM	                    15	MI
26	 NAGALAND	                    13	NL
27	 ODISHA	                        21	OR
28	 PONDICHERRY	                34	PY
29	 PUNJAB	                         3	PB
30	 RAJASTHAN	                     8	RJ
31	 SIKKIM	                        11	SK
32	 TAMILNADU	                    33	TN
33	 TELENGANA	                    36	TS
34	 TRIPURA	                    16	TR
35	 UTTAR PRADESH	                 9	UP
36	 UTRAKHAND	                     5	UT
37	 WEST BENGAL	                19	WB